PK Id_inversor,Marca,Modelo,Potencia,Corriente de entrada,Corriente de salida,Voltaje de arranque,Voltaje mÃ¡ximo de entrada,No mppt,No fases,Voltaje nominal
1,Solis,S5-GR3P5K-LV,5000,16,14.4,180,1000,4,3,220
2,Solis,S5-GR3P6K-LV,6000,16,16.7,180,1000,4,3,220
3,Solis,S5-GR3P10K-LV,10000,32,28.8,180,1000,8,3,220
4,Solis,S5-GR1P7K,7000,14,33.7,120,600,6,2,220
5,Solis,S5-GR1P8K,8000,14,36.6,120,600,6,2,220
6,Solis,S5-GR1P9K,9000,14,41.3,120,600,6,2,220
7,Solis,S5-GR1P10K,1000,14,45.9,120,600,6,2,220
8,Solis,S5-GC100K-US,100000,32,120.3,195,1000,20,3,480
9,Solis,S5-GC15K-LV,15000,32,43.3,180,1100,6,3,220
10,Solis,S5-GC20K-LV,20000,32,57.7,180,1100,6,3,220
11,Solis,S5-GC40K-HV,40000,32,53,180,1100,8,3,480
12,Solis,S5-GC50K-HV,50000,32,66.2,180,1100,8,3,480
13,Solis,S5-GC60K-HV,60000,32,79.4,195,1000,12,3,480
14,Solis,S5-GC70K-HV,70000,32,92.6,195,1000,12,3,480
15,Growatt,MIN 2500TL-X2,2500,16,11.3,50,500,2,2,220
16,Growatt,MIN 3000TL-X2,3000,16,13.6,50,500,2,2,220
17,Growatt,MIN 3600TL-X2,3600,16,16,50,550,2,2,220
18,Growatt,MIN 4200TL-X2,4200,16,19,50,550,2,2,220
19,Growatt,MIN 4600TL-X2,4600,16,20.9,50,550,2,2,220
20,Growatt,MIN 5000TL-X2,5000,16,22.7,50,550,2,2,220
21,Growatt,MIN 6000TL-X2,6000,16,27.2,50,550,2,2,220
22,Growatt,MIN 7000TL-X2,7000,18,33.5,80,600,3,2,220
23,Growatt,MIN 8000TL-X2,8000,18,38.3,80,600,3,2,220
24,Growatt,MIN 9000TL-X2,9000,18,43,80,600,3,2,220
25,Growatt,MIN 10000TL-X2,10000,18,45.5,80,600,3,2,220
26,Growatt,MAX125KTL3-X2MV,125000,50,165.4,195,1100,8,3,480
27,Huawei,SUN2000-100KTL-M2,100000,20,160.4,200,1100,10,3,480
28,Huawei,SUN2000-50KTL-M3,50000,40,79.8,200,1100,8,3,480
29,Huawei,SUN2000-80K-MGL0,80000,63,233.3,160,750,7,3,220
