No,Tarifa,Region,Estado,Ciudad,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Promedio
1,1,CEN,Aguascalientes,Aguascalientes,4.73,5.72,6.85,7.2,7.18,6.41,6.07,6.0,5.5,5.49,5.19,4.61,5.91
2,1,Noroeste,Baja California,Tijuana,3.36,4.13,5.27,6.49,6.45,6.12,6.31,6.18,5.36,4.3,3.69,3.13,5.07
3,1,Noroeste,Baja California,Mexicali,3.13,3.93,5.33,6.46,7.28,7.54,6.93,6.29,5.53,4.46,3.48,2.91,5.27
4,1C,Noroeste,Baja California Sur,La Paz,3.8,4.74,5.96,6.79,7.36,7.3,6.71,6.16,5.55,5.02,4.15,3.54,5.59
5,1C,SUR,Campeche,Campeche,4.59,5.45,6.21,6.75,6.92,6.68,6.66,6.56,6.06,5.29,4.75,4.24,5.85
6,1B,SUR,Chiapas,Tuxtla Gutiérrez,4.33,5.01,5.92,6.15,5.9,5.32,5.64,5.45,4.74,4.52,4.5,4.28,5.15
7,1C,Noreste,Chihuahua,Juárez,3.45,4.23,5.61,6.67,7.29,7.4,6.74,6.06,5.28,4.47,3.69,3.11,5.33
8,1C,Noreste,Chihuahua,Chihuahua,4.03,4.94,6.35,7.14,7.44,6.73,6.02,5.74,5.5,5.12,4.36,3.74,5.59
9,1C,Noreste,Coahuila,Saltillo,3.83,4.61,5.73,5.94,6.27,6.19,6.06,5.74,5.05,4.66,4.2,3.64,5.16
10,1C,Noreste,Coahuila,Torreón,4.09,4.98,6.18,6.61,6.88,6.82,6.42,6.07,5.37,5.15,4.5,3.84,5.58
11,1B,CEN,Colima,Colima,4.85,5.8,6.92,7.18,6.82,5.73,5.3,5.2,4.85,5.02,5.07,4.61,5.61
12,1,CEN,Distrito Federal,Ciudad de México,4.78,5.73,6.55,6.5,6.24,5.6,5.51,5.42,4.95,4.92,4.81,4.49,5.46
13,1,Noreste,Durango,Durango,4.42,5.35,6.62,7.01,7.15,6.64,5.97,5.84,5.34,5.4,4.81,4.17,5.73
14,1,CEN,Estado de México,Toluca,4.78,5.73,6.55,6.5,6.24,5.6,5.51,5.42,4.95,4.92,4.81,4.49,5.46
15,1,CEN,Guanajuato,León,4.67,5.64,6.64,6.89,6.85,6.36,6.06,6.01,5.42,5.31,5.05,4.57,5.79
16,1,CEN,Guanajuato,Guanajuato,4.67,5.64,6.64,6.89,6.85,6.36,6.06,6.01,5.42,5.31,5.05,4.57,5.79
17,1B,SUR,Guerrero,Acapulco,5.49,6.33,7.18,7.37,6.91,6.06,6.31,6.11,5.39,5.75,5.56,5.18,6.14
18,1B,SUR,Guerrero,Chilpancingo,5.17,5.98,6.78,6.83,6.23,5.42,5.77,5.61,5.05,5.22,5.18,4.89,5.68
19,1,CEN,Hidalgo,Pachuca,4.17,5.0,5.85,6.15,6.26,5.73,5.58,5.53,4.75,4.52,4.35,4.0,5.16
20,1,CEN,Jalisco,Guadalajara,4.81,5.77,6.86,7.24,7.15,6.2,5.66,5.63,5.21,5.36,5.17,4.6,5.81
21,1,CEN,Michoacán,Morelia,4.89,5.86,6.9,7.06,6.64,5.61,5.3,5.25,4.87,4.91,5.03,4.68,5.58
22,1A,CEN,Morelos,Cuernavaca,5.19,6.1,6.96,7.06,6.66,6.01,6.28,6.0,5.43,5.37,5.26,4.9,5.94
23,1A,CEN,Nayarit,Tepic,4.64,5.63,6.82,7.38,7.66,6.58,5.86,5.76,5.33,5.43,5.06,4.4,5.88
24,1C,Noreste,Nuevo León,Monterrey,3.4,4.13,5.23,5.53,5.81,6.23,6.37,6.04,5.04,4.4,3.8,3.27,4.94
25,1C,Noreste,Nuevo León,Guadalupe,4.43,5.29,6.22,6.51,6.51,6.15,5.91,5.89,5.11,4.96,4.73,4.27,5.5
26,1,SUR,Oaxaca,Oaxaca,4.7,5.3,6.11,6.38,6.08,5.33,5.34,5.28,4.7,4.71,4.63,4.53,5.26
27,1,CEN,Puebla,Puebla,4.73,5.5,6.2,6.21,6.16,5.64,5.67,5.57,4.95,4.94,4.79,4.49,5.4
28,1,CEN,Querétaro,Querétaro,4.84,5.86,6.81,7.04,6.81,6.36,6.14,6.06,5.49,5.29,5.09,4.58,5.86
29,1B,SUR,Quintana Roo,Cancún,4.27,5.23,6.08,6.82,6.86,6.39,6.78,6.54,5.77,5.13,4.47,3.97,5.69
30,1B,SUR,Quintana Roo,Chetumal,4.06,4.85,5.5,6.04,5.85,5.32,5.34,5.24,4.92,4.6,4.21,3.86,4.98
31,1,CEN,San Luis Potosí,San Luis Potosí,4.25,5.11,6.1,6.44,6.66,6.39,6.06,6.03,5.14,5.0,4.62,4.07,5.49
32,1F,Noroeste,Sinaloa,Culiacán,4.36,5.25,6.55,7.28,7.91,7.68,6.71,6.2,5.68,5.47,4.63,3.99,5.98
33,1F,Noroeste,Sonora,Hermosillo,3.8,4.66,6.19,7.31,7.72,7.71,6.69,6.14,5.81,5.06,4.17,3.54,5.73
34,1C,SUR,Tabasco,Villahermosa,3.83,4.51,5.47,5.99,5.85,5.49,5.7,5.56,4.85,4.35,4.06,3.61,4.94
35,1C,Noreste,Tamaulipas,Reynosa,3.08,3.76,4.84,5.45,5.97,6.52,6.62,6.06,5.17,4.47,3.52,2.96,4.87
36,1C,Noreste,Tamaulipas,Ciudad Victoria,4.02,4.78,5.82,6.03,6.31,6.17,6.11,5.92,5.15,4.82,4.41,3.85,5.28
37,1,CEN,Tlaxcala,Tlaxcala,4.73,5.5,6.2,6.21,6.16,5.64,5.67,5.57,4.95,4.94,4.79,4.49,5.4
38,1B,SUR,Veracruz,Xalapa,3.65,4.23,4.86,5.35,5.46,5.07,5.27,5.05,4.46,4.29,3.95,3.55,4.6
39,1B,SUR,Yucatán,Mérida,4.25,4.97,5.77,6.35,6.31,5.87,5.9,5.71,5.36,4.78,4.33,3.98,5.3
40,1,CEN,Zacatecas,Zacatecas,4.57,5.51,6.62,6.95,7.0,6.36,6.02,5.95,5.41,5.34,5.02,4.41,5.76
